2026-06-22 07:16:27.866 | INFO     | api.services.embeddings:__init__:82 - LocalSTEmbeddings ready — model=Qwen/Qwen3-Embedding-0.6B (lazy-load)
2026-06-22 07:16:28.736 | INFO     | __main__:main:181 - === Processing ACLS ===
2026-06-22 07:16:30.744 | INFO     | __main__:main:236 - [ACLS] skip (already present): 10-K 0001104659-26-020461
2026-06-22 07:16:36.047 | DEBUG    | scripts.embed_edgar:_extract_sections_with_labels:420 - No target sections found — falling back to full text
2026-06-22 07:16:36.171 | DEBUG    | api.services.structure_chunker:chunk:450 - Chunked full_text (narrative): 622 chunks (2 tables, 620 narrative)
2026-06-22 07:16:55.385 | INFO     | api.services.embeddings:_get_model:87 - Loading local embedding model: Qwen/Qwen3-Embedding-0.6B
2026-06-22 07:28:56.792 | INFO     | __main__:main:160 - torch threads set to 8 (cores=8)
2026-06-22 07:28:56.792 | INFO     | api.services.embeddings:__init__:82 - LocalSTEmbeddings ready — model=Qwen/Qwen3-Embedding-0.6B (lazy-load)
2026-06-22 07:28:56.900 | INFO     | __main__:main:203 - === Processing ACLS ===
2026-06-22 07:28:58.195 | INFO     | __main__:main:258 - [ACLS] skip (already present): 10-K 0001104659-26-020461
2026-06-22 07:28:58.234 | DEBUG    | scripts.embed_edgar:_extract_sections_with_labels:420 - No target sections found — falling back to full text
2026-06-22 07:28:58.284 | DEBUG    | api.services.structure_chunker:chunk:450 - Chunked full_text (narrative): 622 chunks (2 tables, 620 narrative)
2026-06-22 07:29:08.623 | INFO     | api.services.embeddings:_get_model:87 - Loading local embedding model: Qwen/Qwen3-Embedding-0.6B
2026-06-22 08:42:58.539 | INFO     | __main__:main:375 - [ACLS] Stored 622 chunks for 10-K 0001558370-25-001855
2026-06-22 08:42:58.768 | INFO     | __main__:main:203 - === Processing ADI ===
2026-06-22 08:42:59.594 | INFO     | __main__:main:258 - [ADI] skip (already present): 10-K 0000006281-25-000153
2026-06-22 08:42:59.596 | INFO     | __main__:main:258 - [ADI] skip (already present): 10-K 0000006281-24-000204
2026-06-22 08:42:59.596 | INFO     | __main__:main:203 - === Processing AEHR ===
2026-06-22 08:43:00.347 | INFO     | __main__:main:258 - [AEHR] skip (already present): 10-K 0001654954-25-008553
2026-06-22 08:43:02.295 | DEBUG    | scripts.embed_edgar:_extract_sections_with_labels:439 - Extracted 4 sections
2026-06-22 08:43:02.304 | DEBUG    | api.services.structure_chunker:chunk:450 - Chunked item_1 (business_description): 116 chunks (0 tables, 116 narrative)
2026-06-22 08:43:02.315 | DEBUG    | api.services.structure_chunker:chunk:450 - Chunked item_1a (risk_factors): 120 chunks (0 tables, 120 narrative)
2026-06-22 08:43:02.324 | DEBUG    | api.services.structure_chunker:chunk:450 - Chunked item_7 (md_and_a): 53 chunks (0 tables, 53 narrative)
2026-06-22 08:43:02.344 | DEBUG    | api.services.structure_chunker:chunk:450 - Chunked item_8 (balance_sheet): 180 chunks (2 tables, 178 narrative)
